article_number,DOI,doi_link,study_number,all_registration_urls,journal_title
25,10.1037/xge0001295,doi.org/10.1037/xge0001295,NA,https://osf.io/hezkm;https://osf.io/ag35c;https://osf.io/b7ad4;https://osf.io/3umk4,Journal of Experimental Psychology: General
18,10.1037/emo0001448,doi.org/10.1037/emo0001448,NA,https://osf.io/t6jcv,Emotion
37,10.1037/xge0001031,doi.org/10.1037/xge0001031,NA,https://osf.io/v734e,Journal of Experimental Psychology: General
48,10.1037/xhp0001112,doi.org/10.1037/xhp0001112,Experiment 1,https://osf.io/stfn5,Journal of Experimental Psychology: Human Perception and Performance
97,10.1037/pspp0000393,doi.org/10.1037/pspp0000393,Study 1,https://osf.io/bukpw,Journal of Personality and Social Psychology
83,10.1037/pspp0000375,doi.org/10.1037/pspp0000375,Study 1b,https://osf.io/wqyuf,Journal of Personality and Social Psychology
13,10.1037/emo0000730,doi.org/10.1037/emo0000730,NA,https://osf.io/s93ju,Emotion
44,10.1037/xhp0001062,doi.org/10.1037/xhp0001062,NA,https://osf.io/h6gts,Journal of Experimental Psychology: Human Perception and Performance
91,10.1037/pspa0000413,doi.org/10.1037/pspa0000413,Study 1,https://osf.io/ewjty,Journal of Personality and Social Psychology
24,10.1037/xge0001459,doi.org/10.1037/xge0001459,Experiment 1,https://osf.io/q86cj,Journal of Experimental Psychology: General
36,10.1037/xge0001488,doi.org/10.1037/xge0001488,Experiment 1,https://osf.io/4my93;https://osf.io/5dyhf;https://osf.io/q4h3r;https://osf.io/83npu;https://osf.io/4skzc,Journal of Experimental Psychology: General
64,10.1037/xlm0001363,doi.org/10.1037/xlm0001363,NA,https://osf.io/a3u54,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
2,10.1037/emo0001434,doi.org/10.1037/emo0001434,NA,https://osf.io/fk6yu,Emotion
62,10.1037/xlm0001042,doi.org/10.1037/xlm0001042,Experiment 3,https://osf.io/hjnk5,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
93,10.1037/pspp0000386,doi.org/10.1037/pspp0000386,NA,https://osf.io/tcysh,Journal of Personality and Social Psychology
19,10.1037/emo0001311,doi.org/10.1037/emo0001311,NA,https://osf.io/vym9g,Emotion
16,10.1037/emo0001410,doi.org/10.1037/emo0001410,NA,https://osf.io/3khx9,Emotion
55,10.1037/xhp0001162,doi.org/10.1037/xhp0001162,Experiment 2,https://osf.io/6WNE2,Journal of Experimental Psychology: Human Perception and Performance
31,10.1037/xge0001688,doi.org/10.1037/xge0001688,NA,https://osf.io/q5ne8,Journal of Experimental Psychology: General
66,10.1037/xlm0001354,doi.org/10.1037/xlm0001354,Experiment 1,https://osf.io/twy6c,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
80,10.1037/xlm0001128,doi.org/10.1037/xlm0001128,Experiment 2,https://osf.io/zm7cy,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
78,10.1037/xlm0000841,doi.org/10.1037/xlm0000841,Study 2,https://osf.io/48qwx,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
32,10.1037/xge0000853,doi.org/10.1037/xge0000853,Study 3,https://osf.io/x24kj;https://osf.io/f6sp9;https://osf.io/m79a2,Journal of Experimental Psychology: General
21,10.1037/xge0001619,doi.org/10.1037/xge0001619,Study 1,https://osf.io/48x6f,Journal of Experimental Psychology: General
61,10.1037/xlm0000907,doi.org/10.1037/xlm0000907,NA,https://osf.io/zj3a6,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
87,10.1037/pspa0000368,doi.org/10.1037/pspa0000368,Study 2,https://osf.io/fus72,Journal of Personality and Social Psychology
57,10.1037/xhp0001103,doi.org/10.1037/xhp0001103,Experiment 2,https://osf.io/wx8f3,Journal of Experimental Psychology: Human Perception and Performance
63,10.1037/xlm0001350,doi.org/10.1037/xlm0001350,Experiment 2,https://osf.io/jt9ph,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
42,10.1037/xhp0001131,doi.org/10.1037/xhp0001131,Experiment 2,https://osf.io/qjm3t;https://osf.io/c9d8u,Journal of Experimental Psychology: Human Perception and Performance
79,10.1037/xlm0001219,doi.org/10.1037/xlm0001219,Experiment 1,https://osf.io/329cs,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
4,10.1037/emo0001330,doi.org/10.1037/emo0001330,Study 1,https://osf.io/n36cu,Emotion
40,10.1037/xge0001455,doi.org/10.1037/xge0001455,NA,https://osf.io/4expt,Journal of Experimental Psychology: General
68,10.1037/xlm0000931,doi.org/10.1037/xlm0000931,Experiment 1,https://osf.io/zgtvx,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
81,10.1037/pspi0000458,doi.org/10.1037/pspi0000458,Study 6,https://osf.io/ghkc8,Journal of Personality and Social Psychology
92,10.1037/pspa0000423,doi.org/10.1037/pspa0000423,Experiment 2,https://osf.io/tmkvd,Journal of Personality and Social Psychology
49,10.1037/xhp0001183,doi.org/10.1037/xhp0001183,Experiment 1,https://osf.io/wrqcz,Journal of Experimental Psychology: Human Perception and Performance
100,10.1037/pspi0000476,doi.org/10.1037/pspi0000476,Study 9,https://osf.io/27k56,Journal of Personality and Social Psychology
84,10.1037/pspp0000526,doi.org/10.1037/pspp0000526,Study 1,https://osf.io/7rc2d,Journal of Personality and Social Psychology
99,10.1037/pspi0000470,doi.org/10.1037/pspi0000470,Experiment 3,https://osf.io/zj7d9,Journal of Personality and Social Psychology
76,10.1037/xlm0001032,doi.org/10.1037/xlm0001032,Experiment 2,https://osf.io/3h7kf,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
