article_number,DOI,doi_link,study_number,all_registration_urls,journal_title
96,10.1037/pspa0000416,doi.org/10.1037/pspa0000416,Study 5,https://osf.io/pdnyx,Journal of Personality and Social Psychology
20,10.1037/emo0001429,doi.org/10.1037/emo0001429,Study 2,https://osf.io/ndkzv,Emotion
8,10.1037/emo0001357,doi.org/10.1037/emo0001357,Study 3,https://osf.io/sx82e;https://osf.io/ypg9v,Emotion
34,10.1037/xge0001627,doi.org/10.1037/xge0001627,Experiment 3,https://osf.io/7bjre,Journal of Experimental Psychology: General
58,10.1037/xhp0001288,doi.org/10.1037/xhp0001288,Experiment 2,https://osf.io/Y35HD,Journal of Experimental Psychology: Human Perception and Performance
40,10.1037/xge0001455,doi.org/10.1037/xge0001455,NA,https://osf.io/4expt,Journal of Experimental Psychology: General
16,10.1037/emo0001410,doi.org/10.1037/emo0001410,NA,https://osf.io/3khx9,Emotion
90,10.1037/pspa0000386,doi.org/10.1037/pspa0000386,Experiment 4,https://osf.io/zbmun,Journal of Personality and Social Psychology
22,10.1037/xge0001206,doi.org/10.1037/xge0001206,Study 5,https://osf.io/gycj3;https://osf.io/85k7q,Journal of Experimental Psychology: General
60,10.1037/xhp0000944,doi.org/10.1037/xhp0000944,Experiment 2 (Sample 1),https://osf.io/2djqf,Journal of Experimental Psychology: Human Perception and Performance
7,10.1037/emo0001453,doi.org/10.1037/emo0001453,Study 2,https://osf.io/t9r6a,Emotion
82,10.1037/pspi0000364,doi.org/10.1037/pspi0000364,Study 3,https://osf.io/p3r8n,Journal of Personality and Social Psychology
95,10.1037/pspa0000411,doi.org/10.1037/pspa0000411,Study 4,https://osf.io/nyudc,Journal of Personality and Social Psychology
38,10.1037/xge0001462,doi.org/10.1037/xge0001462,Experiment 4,https://osf.io/fuyva,Journal of Experimental Psychology: General
48,10.1037/xhp0001112,doi.org/10.1037/xhp0001112,Experiment 1,https://osf.io/stfn5,Journal of Experimental Psychology: Human Perception and Performance
18,10.1037/emo0001448,doi.org/10.1037/emo0001448,NA,https://osf.io/t6jcv,Emotion
17,10.1037/emo0001394,doi.org/10.1037/emo0001394,Study 1,https://osf.io/G7BVJ,Emotion
69,10.1037/xlm0001244,doi.org/10.1037/xlm0001244,Experiment 2,https://osf.io/38ady,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
25,10.1037/xge0001295,doi.org/10.1037/xge0001295,NA,https://osf.io/hezkm;https://osf.io/ag35c;https://osf.io/b7ad4;https://osf.io/3umk4,Journal of Experimental Psychology: General
12,10.1037/emo0001455,doi.org/10.1037/emo0001455,Study 3,https://osf.io/KQBW5,Emotion
14,10.1037/emo0001513,doi.org/10.1037/emo0001513,Study 6,https://osf.io/efptk,Emotion
31,10.1037/xge0001688,doi.org/10.1037/xge0001688,NA,https://osf.io/q5ne8,Journal of Experimental Psychology: General
29,10.1037/xge0001280,doi.org/10.1037/xge0001280,NA,https://osf.io/43xfe;https://osf.io/mcdpu,Journal of Experimental Psychology: General
67,10.1037/xlm0001050,doi.org/10.1037/xlm0001050,Study 2,https://osf.io/qrz8v,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
59,10.1037/xhp0000927,doi.org/10.1037/xhp0000927,NA,https://osf.io/hjm3z,Journal of Experimental Psychology: Human Perception and Performance
30,10.1037/xge0001112,doi.org/10.1037/xge0001112,NA,https://osf.io/utche,Journal of Experimental Psychology: General
33,10.1037/xge0001614,doi.org/10.1037/xge0001614,Study 3,https://osf.io/ctzks,Journal of Experimental Psychology: General
52,10.1037/xhp0001190,doi.org/10.1037/xhp0001190,Experiment 2,https://osf.io/r9d2c,Journal of Experimental Psychology: Human Perception and Performance
35,10.1037/xge0001527,doi.org/10.1037/xge0001527,Study 2,https://osf.io/wqfkh,Journal of Experimental Psychology: General
63,10.1037/xlm0001350,doi.org/10.1037/xlm0001350,Experiment 2,https://osf.io/jt9ph,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
37,10.1037/xge0001031,doi.org/10.1037/xge0001031,NA,https://osf.io/v734e,Journal of Experimental Psychology: General
13,10.1037/emo0000730,doi.org/10.1037/emo0000730,NA,https://osf.io/s93ju,Emotion
26,10.1037/xge0001570,doi.org/10.1037/xge0001570,Experiment 1,https://osf.io/2dmtw,Journal of Experimental Psychology: General
6,10.1037/emo0001268,doi.org/10.1037/emo0001268,NA,https://osf.io/rzdv5,Emotion
97,10.1037/pspp0000393,doi.org/10.1037/pspp0000393,Study 1,https://osf.io/bukpw,Journal of Personality and Social Psychology
41,10.1037/xhp0001234,doi.org/10.1037/xhp0001234,Experiment 4,https://osf.io/4gtkn,Journal of Experimental Psychology: Human Perception and Performance
54,10.1037/xhp0001130,doi.org/10.1037/xhp0001130,Experiment 1,https://osf.io/NAFE2,Journal of Experimental Psychology: Human Perception and Performance
77,10.1037/xlm0001141,doi.org/10.1037/xlm0001141,Experiment 1,https://osf.io/3s46f,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
46,10.1037/xhp0001187,doi.org/10.1037/xhp0001187,Experiment 2,https://osf.io/vdazs,Journal of Experimental Psychology: Human Perception and Performance
85,10.1037/pspa0000412,doi.org/10.1037/pspa0000412,Study 2,https://osf.io/pquzm,Journal of Personality and Social Psychology
