article_number,DOI,doi_link,study_number,all_registration_urls,journal_title
96,10.1037/pspa0000416,doi.org/10.1037/pspa0000416,Study 5,https://osf.io/pdnyx,Journal of Personality and Social Psychology
75,10.1037/xlm0001134,doi.org/10.1037/xlm0001134,Experiment 1,https://osf.io/5up4f,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
1,10.1037/emo0001252,doi.org/10.1037/emo0001252,Study 1,https://osf.io/c2xzd,Emotion
24,10.1037/xge0001459,doi.org/10.1037/xge0001459,Experiment 1,https://osf.io/q86cj,Journal of Experimental Psychology: General
26,10.1037/xge0001570,doi.org/10.1037/xge0001570,Experiment 1,https://osf.io/2dmtw,Journal of Experimental Psychology: General
87,10.1037/pspa0000368,doi.org/10.1037/pspa0000368,Study 2,https://osf.io/fus72,Journal of Personality and Social Psychology
69,10.1037/xlm0001244,doi.org/10.1037/xlm0001244,Experiment 2,https://osf.io/38ady,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
52,10.1037/xhp0001190,doi.org/10.1037/xhp0001190,Experiment 2,https://osf.io/r9d2c,Journal of Experimental Psychology: Human Perception and Performance
28,10.1037/xge0001256,doi.org/10.1037/xge0001256,Experiment 4,https://osf.io/hkc4u;https://osf.io/spu29;https://osf.io/59c3z;https://osf.io/rqmw5,Journal of Experimental Psychology: General
17,10.1037/emo0001394,doi.org/10.1037/emo0001394,Study 1,https://osf.io/G7BVJ,Emotion
85,10.1037/pspa0000412,doi.org/10.1037/pspa0000412,Study 2,https://osf.io/pquzm,Journal of Personality and Social Psychology
71,10.1037/xlm0001270,doi.org/10.1037/xlm0001270,Experiment 3,https://osf.io/cmf3s,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
61,10.1037/xlm0000907,doi.org/10.1037/xlm0000907,NA,https://osf.io/zj3a6,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
44,10.1037/xhp0001062,doi.org/10.1037/xhp0001062,NA,https://osf.io/h6gts,Journal of Experimental Psychology: Human Perception and Performance
21,10.1037/xge0001619,doi.org/10.1037/xge0001619,Study 1,https://osf.io/48x6f,Journal of Experimental Psychology: General
9,10.1037/emo0001161,doi.org/10.1037/emo0001161,Study 2,https://osf.io/3q68t,Emotion
15,10.1037/emo0001226,doi.org/10.1037/emo0001226,Dataset 1,https://osf.io/rwbgj,Emotion
5,10.1037/emo0001301,doi.org/10.1037/emo0001301,Study 2,https://osf.io/ygqfd,Emotion
56,10.1037/xhp0000798,doi.org/10.1037/xhp0000798,Experiment 2,https://osf.io/nky52,Journal of Experimental Psychology: Human Perception and Performance
20,10.1037/emo0001429,doi.org/10.1037/emo0001429,Study 2,https://osf.io/ndkzv,Emotion
74,10.1037/xlm0001191,doi.org/10.1037/xlm0001191,Experiment 4,https://osf.io/aqfg3,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
70,10.1037/xlm0001349,doi.org/10.1037/xlm0001349,Experiment 2,https://osf.io/8ru6z,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
86,10.1037/pspi0000327,doi.org/10.1037/pspi0000327,Study 5,https://osf.io/qtr94,Journal of Personality and Social Psychology
3,10.1037/emo0001132,doi.org/10.1037/emo0001132,NA,https://osf.io/csvbe,Emotion
23,10.1037/xge0001409,doi.org/10.1037/xge0001409,Experiment 1,https://osf.io/wrtgu,Journal of Experimental Psychology: General
10,10.1037/emo0001368,doi.org/10.1037/emo0001368,Study 3,https://osf.io/bv3k4,Emotion
47,10.1037/xhp0001219,doi.org/10.1037/xhp0001219,Experiment 2,https://osf.io/a5ze7,Journal of Experimental Psychology: Human Perception and Performance
42,10.1037/xhp0001131,doi.org/10.1037/xhp0001131,Experiment 2,https://osf.io/qjm3t;https://osf.io/c9d8u,Journal of Experimental Psychology: Human Perception and Performance
66,10.1037/xlm0001354,doi.org/10.1037/xlm0001354,Experiment 1,https://osf.io/twy6c,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
93,10.1037/pspp0000386,doi.org/10.1037/pspp0000386,NA,https://osf.io/tcysh,Journal of Personality and Social Psychology
78,10.1037/xlm0000841,doi.org/10.1037/xlm0000841,Study 2,https://osf.io/48qwx,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
65,10.1037/xlm0001161,doi.org/10.1037/xlm0001161,Experiment 2,https://osf.io/9sq5u,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
51,10.1037/xhp0000963,doi.org/10.1037/xhp0000963,Experiment 2,https://osf.io/wx4kd,Journal of Experimental Psychology: Human Perception and Performance
50,10.1037/xhp0001211,doi.org/10.1037/xhp0001211,Experiment 1,https://osf.io/vfnax,Journal of Experimental Psychology: Human Perception and Performance
39,10.1037/xge0001634,doi.org/10.1037/xge0001634,NA,https://osf.io/ur73j,Journal of Experimental Psychology: General
22,10.1037/xge0001206,doi.org/10.1037/xge0001206,Study 5,https://osf.io/gycj3;https://osf.io/85k7q,Journal of Experimental Psychology: General
7,10.1037/emo0001453,doi.org/10.1037/emo0001453,Study 2,https://osf.io/t9r6a,Emotion
84,10.1037/pspp0000526,doi.org/10.1037/pspp0000526,Study 1,https://osf.io/7rc2d,Journal of Personality and Social Psychology
11,10.1037/emo0000982,doi.org/10.1037/emo0000982,NA,https://osf.io/tb4qv,Emotion
35,10.1037/xge0001527,doi.org/10.1037/xge0001527,Study 2,https://osf.io/wqfkh,Journal of Experimental Psychology: General
