article_number,DOI,doi_link,study_number,all_registration_urls,journal_title,completed
47,10.1037/xhp0001219,doi.org/10.1037/xhp0001219,Experiment 2,https://osf.io/a5ze7,Journal of Experimental Psychology: Human Perception and Performance,Not coded
108,10.1037/emo0001280,doi.org/10.1037/emo0001280,Study 2,https://osf.io/sryq6,Emotion,Not coded
58,10.1037/xhp0001288,doi.org/10.1037/xhp0001288,Experiment 2,https://osf.io/Y35HD,Journal of Experimental Psychology: Human Perception and Performance,Not coded
43,10.1037/xhp0001191,doi.org/10.1037/xhp0001191,Experiment 2,https://osf.io/9dkgq/,Journal of Experimental Psychology: Human Perception and Performance,Not coded
59,10.1037/xhp0000927,doi.org/10.1037/xhp0000927,NA,https://osf.io/hjm3z,Journal of Experimental Psychology: Human Perception and Performance,Not coded
90,10.1037/pspa0000386,doi.org/10.1037/pspa0000386,Experiment 4,https://osf.io/zbmun,Journal of Personality and Social Psychology,Not coded
12,10.1037/emo0001455,doi.org/10.1037/emo0001455,Study 3,https://osf.io/kqbw5/overview,Emotion,Coded
1,10.1037/emo0001252,doi.org/10.1037/emo0001252,Study 1,https://osf.io/c2xzd,Emotion,Not coded
69,10.1037/xlm0001244,doi.org/10.1037/xlm0001244,Experiment 2,https://osf.io/38ady,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
89,10.1037/pspp0000341,doi.org/10.1037/pspp0000341,Phase 6,https://osf.io/cseyx,Journal of Personality and Social Psychology,Coded
103,10.1037/xhp0001264,doi.org/10.1037/xhp0001264,NA,https://osf.io/ysvu5,Journal of Experimental Psychology: Human Perception and Performance,Not coded
76,10.1037/xlm0001032,doi.org/10.1037/xlm0001032,Experiment 2,https://osf.io/3h7kf,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
83,10.1037/pspp0000375,doi.org/10.1037/pspp0000375,Study 1b,https://osf.io/wqyuf,Journal of Personality and Social Psychology,Coded
67,10.1037/xlm0001050,doi.org/10.1037/xlm0001050,Study 2,https://osf.io/qrz8v,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Coded
9,10.1037/emo0001161,doi.org/10.1037/emo0001161,Study 2,https://osf.io/3q68t,Emotion,Not coded
68,10.1037/xlm0000931,doi.org/10.1037/xlm0000931,Experiment 1,https://osf.io/zgtvx,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Coded
37,10.1037/xge0001031,doi.org/10.1037/xge0001031,Experiment 1,https://osf.io/v734e,Journal of Experimental Psychology: General,Not coded
28,10.1037/xge0001256,doi.org/10.1037/xge0001256,Experiment 4,https://osf.io/hkc4u;https://osf.io/spu29;https://osf.io/59c3z;https://osf.io/rqmw5,Journal of Experimental Psychology: General,Not coded
71,10.1037/xlm0001270,doi.org/10.1037/xlm0001270,Experiment 3,https://osf.io/cmf3s,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
81,10.1037/pspi0000458,doi.org/10.1037/pspi0000458,Study 6,https://osf.io/ghkc8,Journal of Personality and Social Psychology,Not coded
36,10.1037/xge0001488,doi.org/10.1037/xge0001488,Experiment 1,https://osf.io/4my93;https://osf.io/5dyhf;https://osf.io/q4h3r;https://osf.io/83npu;https://osf.io/4skzc,Journal of Experimental Psychology: General,Coded
7,10.1037/emo0001453,doi.org/10.1037/emo0001453,Study 2,https://osf.io/t9r6a,Emotion,Not coded
49,10.1037/xhp0001183,doi.org/10.1037/xhp0001183,Experiment 1,https://osf.io/wrqcz,Journal of Experimental Psychology: Human Perception and Performance,Not coded
88,10.1037/pspi0000411,doi.org/10.1037/pspi0000411,Study 2,https://osf.io/jbknq,Journal of Personality and Social Psychology,Not coded
79,10.1037/xlm0001219,doi.org/10.1037/xlm0001219,Experiment 1,https://osf.io/329cs,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Coded
41,10.1037/xhp0001234,doi.org/10.1037/xhp0001234,Experiment 4,https://osf.io/4gtkn,Journal of Experimental Psychology: Human Perception and Performance,Coded
38,10.1037/xge0001462,doi.org/10.1037/xge0001462,Experiment 4,https://osf.io/fuyva,Journal of Experimental Psychology: General,Coded
100,10.1037/pspi0000476,doi.org/10.1037/pspi0000476,Study 9,https://osf.io/27k56,Journal of Personality and Social Psychology,Coded
4,10.1037/emo0001330,doi.org/10.1037/emo0001330,Study 1,https://osf.io/n36cu,Emotion,Not coded
