article_number,DOI,doi_link,study_number,all_registration_urls,journal_title,completed
61,10.1037/xlm0000907,doi.org/10.1037/xlm0000907,Experiment 1,https://osf.io/zj3a6,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
29,10.1037/xge0001280,doi.org/10.1037/xge0001280,NA,https://osf.io/43xfe;https://osf.io/mcdpu,Journal of Experimental Psychology: General,Not coded
49,10.1037/xhp0001183,doi.org/10.1037/xhp0001183,Experiment 1,https://osf.io/wrqcz,Journal of Experimental Psychology: Human Perception and Performance,Not coded
5,10.1037/emo0001301,doi.org/10.1037/emo0001301,Study 2,https://osf.io/ygqfd,Emotion,Not coded
74,10.1037/xlm0001191,doi.org/10.1037/xlm0001191,Experiment 4,https://osf.io/aqfg3,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
46,10.1037/xhp0001187,doi.org/10.1037/xhp0001187,Experiment 2,https://osf.io/vdazs,Journal of Experimental Psychology: Human Perception and Performance,Not coded
50,10.1037/xhp0001211,doi.org/10.1037/xhp0001211,Experiment 1,https://osf.io/vfnax,Journal of Experimental Psychology: Human Perception and Performance,Not coded
30,10.1037/xge0001112,doi.org/10.1037/xge0001112,NA,https://osf.io/utche,Journal of Experimental Psychology: General,Not coded
105,10.1037/xhp0001052,doi.org/10.1037/xhp0001052,Experiment 2,https://osf.io/5u6rc,Journal of Experimental Psychology: Human Perception and Performance,Not coded
82,10.1037/pspi0000364,doi.org/10.1037/pspi0000364,Study 3,https://osf.io/p3r8n,Journal of Personality and Social Psychology,Not coded
32,10.1037/xge0000853,doi.org/10.1037/xge0000853,Study 3,https://osf.io/x24kj;https://osf.io/f6sp9;https://osf.io/m79a2,Journal of Experimental Psychology: General,Not coded
20,10.1037/emo0001429,doi.org/10.1037/emo0001429,Study 2,https://osf.io/ndkzv,Emotion,Not coded
106,10.1037/xlm0000951,doi.org/10.1037/xlm0000951,Experiment 5,https://osf.io/tqc42,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
8,10.1037/emo0001357,doi.org/10.1037/emo0001357,Study 3,https://osf.io/sx82e;https://osf.io/ypg9v,Emotion,Not coded
70,10.1037/xlm0001349,doi.org/10.1037/xlm0001349,Experiment 2,https://osf.io/8ru6z,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
31,10.1037/xge0001688,doi.org/10.1037/xge0001688,NA,https://osf.io/q5ne8,Journal of Experimental Psychology: General,Not coded
72,10.1037/xlm0001148,doi.org/10.1037/xlm0001148,Experiment 2,https://osf.io/x9n36,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
6,10.1037/emo0001268,doi.org/10.1037/emo0001268,NA,https://osf.io/rzdv5,Emotion,Coded
21,10.1037/xge0001619,doi.org/10.1037/xge0001619,Study 1,https://osf.io/48x6f,Journal of Experimental Psychology: General,Not coded
91,10.1037/pspa0000413,doi.org/10.1037/pspa0000413,Study 1,https://osf.io/ewjty,Journal of Personality and Social Psychology,Not coded
39,10.1037/xge0001634,doi.org/10.1037/xge0001634,NA,https://osf.io/ur73j,Journal of Experimental Psychology: General,Not coded
89,10.1037/pspp0000341,doi.org/10.1037/pspp0000341,Phase 6,https://osf.io/cseyx,Journal of Personality and Social Psychology,Not coded
103,10.1037/xhp0001264,doi.org/10.1037/xhp0001264,NA,https://osf.io/ysvu5,Journal of Experimental Psychology: Human Perception and Performance,Not coded
100,10.1037/pspi0000476,doi.org/10.1037/pspi0000476,Study 9,https://osf.io/27k56,Journal of Personality and Social Psychology,Not coded
107,10.1037/emo0001418,doi.org/10.1037/emo0001418,NA,https://osf.io/c7h98,Emotion,Not coded
9,10.1037/emo0001161,doi.org/10.1037/emo0001161,Study 2,https://osf.io/3q68t,Emotion,Not coded
27,10.1037/xge0001120,doi.org/10.1037/xge0001120,Study 4,https://osf.io/ku6fq,Journal of Experimental Psychology: General,Not coded
34,10.1037/xge0001627,doi.org/10.1037/xge0001627,Experiment 3,https://osf.io/7bjre,Journal of Experimental Psychology: General,Not coded
80,10.1037/xlm0001128,doi.org/10.1037/xlm0001128,Experiment 2,https://osf.io/zm7cy,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
