"article_number","osf_id","date_registered","date_modified","was_updated","n_revisions","status"
1,"c2xzd",2021-02-09 21:42:17.505691,2021-02-09 21:14:20.939591,FALSE,NA,"ok"
2,"fk6yu",2022-05-18 10:42:58.849549,2023-11-22 02:07:20.116418,TRUE,NA,"ok"
3,"yfz9r",NA,NA,NA,NA,"http_error 404"
4,"n36cu",2019-11-05 16:42:11.674972,2023-07-04 21:10:29.513076,TRUE,NA,"ok"
5,"ygqfd",2022-02-08 18:46:53.031123,2022-02-08 18:46:52.755603,FALSE,NA,"ok"
6,"rzdv5",2019-09-17 10:14:35.363841,2020-05-19 09:10:21.842459,TRUE,NA,"ok"
7,"t9r6a",2023-11-11 19:01:04.437752,2023-11-11 18:24:03.154019,FALSE,NA,"ok"
8,"sx82e",2022-09-13 05:15:48.351028,2022-09-13 05:07:35.656652,FALSE,NA,"ok"
9,"3q68t",2020-12-15 13:31:25.763035,2020-02-26 05:00:11.578702,FALSE,NA,"ok"
10,"bv3k4",2023-04-20 15:15:35.424996,2024-08-01 15:27:54.731021,TRUE,NA,"ok"
11,"tb4qv",2020-07-03 17:06:07.898699,2020-06-17 03:58:35.20998,FALSE,NA,"ok"
12,"kqbw5",2024-03-01 21:43:44.344355,2023-11-05 05:02:11.53479,FALSE,NA,"ok"
14,"efptk",2024-09-10 17:55:01.75493,2024-09-16 18:24:07.9888,TRUE,NA,"ok"
17,"g7bvj",2022-02-07 10:00:49.823663,2022-02-07 09:35:50.298238,FALSE,NA,"ok"
18,"t6jcv",2023-01-25 22:12:51.498583,2024-06-24 17:27:24.857826,TRUE,NA,"ok"
20,"ndkzv",2023-03-19 12:30:34.300995,2023-03-19 12:30:34.044143,FALSE,NA,"ok"
21,"48x6f",2021-08-19 15:38:19.576915,2021-08-19 15:38:19.350271,FALSE,NA,"ok"
22,"gycj3",2021-09-03 16:36:17.959827,2024-06-12 10:44:11.167739,TRUE,NA,"ok"
23,"wrtgu",2022-03-26 03:29:19.42326,2022-06-19 13:33:18.446139,TRUE,NA,"ok"
24,"q86cj",2021-08-02 09:19:30.916227,2021-07-12 10:49:55.397891,FALSE,NA,"ok"
25,"hezkm",2021-12-12 23:54:04.71087,2021-04-24 00:45:07.774499,FALSE,NA,"ok"
26,"2dmtw",2021-03-01 15:50:35.810812,2021-03-30 11:58:46.625772,TRUE,NA,"ok"
27,"ku6fq",2020-03-31 13:49:17.738255,2020-08-01 05:01:13.745916,TRUE,NA,"ok"
28,"hkc4u",2021-02-26 12:50:33.474265,2021-02-04 05:00:41.522698,FALSE,NA,"ok"
29,"43xfe",2021-04-12 13:00:32.860897,2021-04-01 05:00:04.470647,FALSE,NA,"ok"
30,"utche",2019-04-10 13:30:11.529609,2019-04-10 10:06:58.832318,FALSE,NA,"ok"
31,"q5ne8",2022-05-04 16:51:35.640593,2022-05-04 15:05:09.199994,FALSE,NA,"ok"
32,"x24kj",2020-02-05 19:13:07.436922,2023-12-20 15:19:04.797799,TRUE,NA,"ok"
33,"ctzks",2022-12-31 21:41:01.941353,2023-06-23 19:31:09.48159,TRUE,NA,"ok"
34,"7bjre",2022-10-17 14:28:58.148271,2022-10-17 14:16:11.551657,FALSE,NA,"ok"
35,"wqfkh",2022-01-14 15:15:25.701164,2022-09-27 11:09:28.359344,TRUE,NA,"ok"
36,"83npu",2021-05-12 13:40:30.329195,2022-05-16 15:03:57.597525,TRUE,NA,"ok"
37,"v734e",2020-07-08 01:38:37.544945,2020-07-08 01:37:33.150107,FALSE,NA,"ok"
38,"fuyva",2021-06-29 11:31:47.671016,2021-06-29 11:24:32.402147,FALSE,NA,"ok"
39,"ur73j",2023-03-07 11:43:42.468487,2023-03-07 11:43:42.240192,FALSE,NA,"ok"
40,"4expt",2021-04-09 10:31:10.471208,2021-04-09 10:14:55.426544,FALSE,NA,"ok"
41,"4gtkn",2024-04-09 15:13:43.905704,2024-04-08 21:15:45.985511,FALSE,NA,"ok"
42,"qjm3t",2022-06-16 13:30:27.215052,2022-05-31 13:11:40.886918,FALSE,NA,"ok"
43,"9dkgq",2021-07-26 13:58:33.685739,2024-04-10 12:50:00.934524,TRUE,NA,"ok"
45,"9hvgd",2022-11-07 19:29:57.239698,2024-04-18 17:08:10.584784,TRUE,NA,"ok"
46,"vdazs",2021-07-28 15:40:18.175302,2021-07-22 17:19:09.050709,FALSE,NA,"ok"
47,"a5ze7",2022-10-19 14:42:09.817487,2022-10-19 14:03:32.102892,FALSE,NA,"ok"
48,"stfn5",2021-06-16 09:24:18.577279,2021-06-15 11:34:23.325787,FALSE,NA,"ok"
49,"wrqcz",2021-06-13 12:49:58.378104,2021-06-09 08:19:11.471046,FALSE,NA,"ok"
50,"vfnax",2022-12-08 11:36:31.257728,2023-07-27 11:36:58.309698,TRUE,NA,"ok"
52,"r9d2c",2022-07-22 14:22:52.163642,2023-04-03 11:07:55.252923,TRUE,NA,"ok"
53,"7qtvn",2023-11-29 14:15:06.352568,2024-10-07 17:45:09.362021,TRUE,NA,"ok"
54,"nafe2",2019-06-18 17:14:35.876322,2019-04-07 20:50:21.332627,FALSE,NA,"ok"
55,"6wne2",2021-05-04 13:30:15.189928,2021-04-17 13:28:35.315181,FALSE,NA,"ok"
56,"nky52",2020-02-04 23:26:27.317169,2020-02-04 23:09:48.241703,FALSE,NA,"ok"
57,"wx8f3",2020-12-17 17:40:15.652971,2020-12-17 17:57:29.519884,TRUE,NA,"ok"
58,"y35hd",2022-01-28 17:37:37.959317,2022-01-28 17:25:19.533691,FALSE,NA,"ok"
59,"hjm3z",2019-05-26 11:54:03.753598,2019-05-26 11:28:16.87007,FALSE,NA,"ok"
60,"2djqf",2020-01-07 20:02:13.609105,2020-01-07 19:47:34.488717,FALSE,NA,"ok"
61,"zj3a6",2019-09-05 11:43:05.485178,2019-07-22 09:14:49.797819,FALSE,NA,"ok"
62,"hjnk5",2020-12-27 21:15:06.836061,2020-12-27 21:01:18.127711,FALSE,NA,"ok"
63,"jt9ph",2021-03-29 14:47:28.153509,2023-07-05 12:26:54.961202,TRUE,NA,"ok"
64,"a3u54",2021-12-06 10:53:46.764669,2023-04-18 15:34:56.480728,TRUE,NA,"ok"
65,"9sq5u",2020-08-24 16:51:22.043372,2021-10-06 19:55:57.527649,TRUE,NA,"ok"
66,"twy6c",2023-10-27 08:24:20.386371,2023-11-07 10:48:25.836309,TRUE,NA,"ok"
68,"zgtvx",2019-06-07 15:20:03.228851,2020-01-09 11:34:28.496828,TRUE,NA,"ok"
69,"38ady",2021-07-20 18:35:24.612062,2021-07-21 11:59:41.242379,TRUE,NA,"ok"
70,"8ru6z",2022-01-25 17:16:50.970816,2022-01-25 17:16:50.751445,FALSE,NA,"ok"
71,"cmf3s",2022-07-12 08:52:32.626452,2022-07-12 08:52:32.450256,FALSE,NA,"ok"
72,"x9n36",2019-11-05 20:00:24.937264,2020-05-30 05:00:37.242083,TRUE,NA,"ok"
73,"j3wqb",2022-01-20 15:20:55.995331,2022-01-20 15:13:06.277232,FALSE,NA,"ok"
74,"aqfg3",2021-01-21 00:13:08.642624,2021-01-22 21:00:38.414432,TRUE,NA,"ok"
75,"5up4f",2019-11-17 18:33:18.653503,2022-07-27 10:24:50.951832,TRUE,NA,"ok"
76,"3h7kf",2019-03-06 12:40:21.558531,2019-12-31 05:05:13.047942,TRUE,NA,"ok"
77,"3s46f",2021-03-17 10:49:55.490435,2021-03-15 12:49:39.684912,FALSE,NA,"ok"
79,"329cs",2020-03-02 17:46:49.317625,2020-03-02 14:29:10.918187,FALSE,NA,"ok"
80,"zm7cy",2020-05-20 23:40:58.970459,2020-05-20 22:40:51.630758,FALSE,NA,"ok"
81,"ghkc8",2023-11-22 06:01:31.247067,2023-11-22 06:10:06.438065,TRUE,NA,"ok"
82,"p3r8n",2020-10-09 01:51:04.14881,2020-12-30 03:46:41.408982,TRUE,NA,"ok"
83,"wqyuf",2019-06-10 17:48:31.267603,2019-06-10 17:42:28.071573,FALSE,NA,"ok"
85,"pquzm",2020-02-05 00:12:18.904958,2023-11-17 00:31:45.400523,TRUE,NA,"ok"
86,"qtr94",2019-07-22 18:11:29.495424,2019-07-22 17:55:30.423024,FALSE,NA,"ok"
87,"fus72",2022-02-21 02:08:17.594542,2023-01-21 16:01:13.516957,TRUE,NA,"ok"
88,"jbknq",2021-10-26 18:25:47.259087,2022-07-28 14:30:20.90456,TRUE,NA,"ok"
89,"cseyx",2020-10-05 20:29:41.543721,2020-09-14 18:07:12.080464,FALSE,NA,"ok"
90,"zbmun",2023-03-13 14:50:02.475476,2023-07-07 05:57:52.996009,TRUE,NA,"ok"
91,"ewjty",2020-07-25 03:08:32.895892,2024-01-04 22:30:22.504848,TRUE,NA,"ok"
95,"nyudc",2023-07-10 17:04:57.492903,2024-08-23 19:13:50.661809,TRUE,NA,"ok"
96,"pdnyx",2021-09-26 20:02:08.222344,2022-02-03 21:40:09.275078,TRUE,NA,"ok"
97,"bukpw",2019-07-17 10:29:29.486014,2020-11-15 09:02:06.837683,TRUE,NA,"ok"
98,"8bves",2023-10-31 23:48:02.174921,2023-11-23 03:03:48.620327,TRUE,NA,"ok"
99,"zj7d9",2020-02-29 02:47:51.795575,2020-02-29 02:07:10.401313,FALSE,NA,"ok"
100,"27k56",2024-03-12 01:48:30.507535,2024-03-22 20:29:37.797449,TRUE,NA,"ok"
101,"e85xt",2021-09-17 12:14:31.156699,2023-08-30 10:23:56.151432,TRUE,NA,"ok"
102,"5dha3",2022-03-21 12:42:44.771257,2022-10-06 12:15:25.832154,TRUE,NA,"ok"
103,"ysvu5",2023-09-13 16:11:44.996786,2023-09-13 16:11:44.763629,FALSE,NA,"ok"
104,"kajz6",2019-07-26 06:54:07.551826,2019-09-01 05:00:49.663878,TRUE,NA,"ok"
105,"5u6rc",2020-08-07 21:19:35.483795,2021-10-21 11:48:28.105719,TRUE,NA,"ok"
106,"tqc42",2019-07-01 22:34:24.717517,2019-05-14 06:48:15.075069,FALSE,NA,"ok"
107,"c7h98",2022-07-05 10:40:49.595327,2024-06-09 09:11:04.812886,TRUE,NA,"ok"
109,"8qhjt",2022-04-12 23:36:42.814587,2023-11-06 16:26:14.502837,TRUE,NA,"ok"
